CRuns,CRBI,CHits,CHmRun,CAtBat,RBI,Walks,CWalks,Hits,Runs,Salary
1070,955,1972,231,6986,46,60,921,96,49,733.333
107,124,283,15,1063,23,22,106,53,21,430.0
366,337,880,32,3053,78,58,218,174,67,657.0
796,627,1926,46,7318,18,15,483,54,21,430.0
45,39,68,9,288,21,19,35,41,26,95.0
106,86,210,21,831,68,21,40,145,66,155.0
58,37,125,7,524,11,18,47,40,23,90.0
132,83,232,19,822,49,57,79,167,89,210.0
181,199,519,26,1968,26,62,288,94,36,875.0
245,167,470,38,1556,50,77,174,163,88,750.0
702,705,1213,194,4405,23,45,625,55,34,1300.0
304,268,543,56,2128,31,22,298,39,18,275.0
126,132,308,27,1309,25,12,66,49,23,300.0
144,149,338,25,1313,33,30,153,55,24,430.0
753,596,1647,60,5952,29,14,259,71,27,430.0
273,383,671,97,2641,74,41,226,132,61,1008.333
763,734,1382,166,5201,95,90,784,137,90,900.0
30,9,42,1,214,8,21,24,37,23,70.0
93,106,185,22,730,77,60,86,140,73,200.0
166,125,329,24,1257,19,21,105,56,41,190.0
77,77,139,31,646,58,37,61,95,55,430.0
180,148,355,31,1359,31,32,158,69,35,277.5
363,477,880,83,3082,79,53,295,159,72,1043.333
266,304,665,43,2796,18,15,198,56,22,250.0
1033,864,1833,224,6890,30,39,1087,84,42,430.0
1104,1289,2163,351,7127,110,62,564,200,98,2412.5
643,658,1478,100,5233,43,65,653,104,57,430.0
66,41,117,11,408,41,34,34,117,66,120.0
338,406,771,110,3031,71,44,239,112,50,750.0
935,1088,2081,190,7186,37,18,643,70,22,325.0
192,186,467,15,1876,26,27,161,53,31,512.5
164,179,333,49,1335,25,35,194,58,28,340.0
106,80,227,22,927,44,21,52,120,53,185.0
545,652,994,215,3571,87,52,337,141,70,430.0
980,1032,2147,153,7472,72,55,854,133,48,773.333
285,274,555,80,2174,47,39,186,103,59,325.0
1135,1234,2083,305,7287,104,77,791,148,90,1861.46
906,926,1632,241,5589,67,53,716,114,67,430.0
224,266,457,63,1624,72,76,263,130,66,480.0
269,270,715,28,2543,32,19,118,88,40,430.0
102,109,142,44,652,86,72,102,108,75,215.0
297,319,610,92,2129,108,41,117,198,101,1175.0
178,192,344,43,1394,45,39,136,96,50,300.0
330,326,715,27,2482,74,32,158,183,80,775.0
616,522,1330,57,4618,32,26,436,94,37,600.0
324,300,657,48,2658,25,20,179,76,42,341.667
59,55,116,14,498,35,39,78,43,26,120.0
108,117,236,21,999,26,22,118,68,28,305.0
196,137,448,15,1518,65,27,89,213,91,350.0
121,69,230,14,969,30,30,68,93,47,150.0
249,322,658,50,2331,49,46,274,110,45,560.0
99,138,231,29,950,85,20,64,102,49,415.0
20,29,50,4,232,21,33,45,41,15,67.5
784,901,1615,235,5913,53,30,560,98,31,430.0
107,114,244,36,994,19,15,53,37,15,430.0
915,1067,1910,259,6840,47,26,546,77,45,700.0
128,104,238,16,961,42,61,172,68,42,191.0
188,135,325,30,1354,49,18,63,92,54,300.0
577,700,1123,212,4273,62,38,334,84,53,800.0
150,156,214,64,911,64,88,187,85,69,300.0
94,71,267,3,1089,28,36,76,86,38,250.0
379,428,808,81,2964,42,20,221,95,48,100.0
123,108,290,11,1064,29,23,55,96,37,275.0
247,288,516,90,1928,53,27,161,77,47,670.0
41,37,108,0,509,24,7,12,73,24,100.0
315,259,667,38,2682,33,16,204,63,25,341.667
369,384,686,133,2765,75,53,321,152,69,940.0
211,280,453,73,1649,51,29,138,78,37,500.0
309,103,510,4,1941,11,22,207,60,30,700.0
335,174,544,38,2130,47,36,258,110,70,490.0
80,75,170,17,638,33,18,36,60,28,137.0
156,159,405,28,1457,46,16,76,83,39,431.5
751,714,1543,104,5885,41,30,535,83,43,450.0
450,367,1066,40,3871,38,26,241,136,58,850.0
16,13,49,3,239,10,5,14,27,8,190.0
2165,1314,4256,160,14053,25,30,1566,52,15,750.0
377,284,895,39,3368,44,52,296,135,52,750.0
